cast,directors,genre,rating,runtime,summary,title,writers
"[{'character': 'Andy Dufresne', 'name': 'Tim Robbins'}, {'character': ""Ellis Boyd 'Red' Redding"", 'name': 'Morgan Freeman'}, {'character': 'Warden Norton', 'name': 'Bob Gunton'}, {'character': 'Heywood', 'name': 'William Sadler'}, {'character': 'Captain Hadley', 'name': 'Clancy Brown'}, {'character': 'Tommy', 'name': 'Gil Bellows'}, {'character': 'Bogs Diamond', 'name': 'Mark Rolston'}, {'character': 'Brooks Hatlen', 'name': 'James Whitmore'}, {'character': '1946 D.A.', 'name': 'Jeffrey DeMunn'}, {'character': 'Skeet', 'name': 'Larry Brandenburg'}, {'character': 'Jigger', 'name': 'Neil Giuntoli'}, {'character': 'Floyd', 'name': 'Brian Libby'}, {'character': 'Snooze', 'name': 'David Proval'}, {'character': 'Ernie', 'name': 'Joseph Ragno'}, {'character': 'Guard Mert', 'name': 'Jude Ciccolella'}]",Frank Darabont,Drama,1.,2h 22min,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",The Shawshank Redemption,Stephen King
"[{'character': 'Juror 1', 'name': 'Martin Balsam'}, {'character': 'Juror 2', 'name': 'John Fiedler'}, {'character': 'Juror 3', 'name': 'Lee J. Cobb'}, {'character': 'Juror 4', 'name': 'E.G. Marshall'}, {'character': 'Juror 5', 'name': 'Jack Klugman'}, {'character': 'Juror 6', 'name': 'Edward Binns'}, {'character': 'Juror 7', 'name': 'Jack Warden'}, {'character': 'Juror 8', 'name': 'Henry Fonda'}, {'character': 'Juror 9', 'name': 'Joseph Sweeney'}, {'character': 'Juror 10', 'name': 'Ed Begley'}, {'character': 'Juror 11', 'name': 'George Voskovec'}, {'character': 'Juror 12', 'name': 'Robert Webber'}]",Sidney Lumet,Crime,5.,1h 36min,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,12 Angry Men,Reginald Rose
"[{'character': 'Tuco', 'name': 'Eli Wallach'}, {'character': 'Blondie', 'name': 'Clint Eastwood'}, {'character': 'Sentenza', 'name': 'Lee Van Cleef'}, {'character': 'Alcoholic Union Captain', 'name': 'Aldo Giuffrè'}, {'character': 'Father Pablo Ramirez', 'name': 'Luigi Pistilli'}, {'character': 'Maria', 'name': 'Rada Rassimov'}, {'character': 'Storekeeper', 'name': 'Enzo Petito'}, {'character': 'Mexican Peon', 'name': 'Claudio Scarchilli'}, {'character': 'Sheriff', 'name': 'John Bartha'}, {'character': 'Baker', 'name': 'Livio Lorenzon'}, {'character': 'Jackson', 'name': 'Antonio Casale'}, {'character': 'Mexican Peon', 'name': 'Sandro Scarchilli'}, {'character': ""Member of Angel Eyes' Gang"", 'name': 'Benito Stefanelli'}, {'character': 'Monk', 'name': 'Angelo Novi'}, {'character': 'Stevens', 'name': 'Antonio Casas'}]",Sergio Leone,Western,9.,2h 58min,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"The Good, the Bad and the Ugly",Luciano Vincenzoni
"[{'character': 'Bruce Wayne', 'name': 'Christian Bale'}, {'character': 'Joker', 'name': 'Heath Ledger'}, {'character': 'Harvey Dent', 'name': 'Aaron Eckhart'}, {'character': 'Alfred', 'name': 'Michael Caine'}, {'character': 'Rachel', 'name': 'Maggie Gyllenhaal'}, {'character': 'Gordon', 'name': 'Gary Oldman'}, {'character': 'Lucius Fox', 'name': 'Morgan Freeman'}, {'character': 'Ramirez', 'name': 'Monique Gabriela Curnen'}, {'character': 'Wuertz', 'name': 'Ron Dean'}, {'character': 'Scarecrow', 'name': 'Cillian Murphy'}, {'character': 'Lau', 'name': 'Chin Han'}, {'character': 'Mayor', 'name': 'Nestor Carbonell'}, {'character': 'Maroni', 'name': 'Eric Roberts'}, {'character': 'Chechen', 'name': 'Ritchie Coster'}, {'character': 'Engel', 'name': 'Anthony Michael Hall'}]",Christopher Nolan,Action,4.,2h 32min,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",The Dark Knight,Jonathan Nolan
"[{'character': 'Oskar Schindler', 'name': 'Liam Neeson'}, {'character': 'Itzhak Stern', 'name': 'Ben Kingsley'}, {'character': 'Amon Goeth', 'name': 'Ralph Fiennes'}, {'character': 'Emilie Schindler', 'name': 'Caroline Goodall'}, {'character': 'Poldek Pfefferberg', 'name': 'Jonathan Sagall'}, {'character': 'Helen Hirsch', 'name': 'Embeth Davidtz'}, {'character': 'Wiktoria Klonowska', 'name': 'Malgorzata Gebel'}, {'character': 'Wilek Chilowicz', 'name': 'Shmuel Levy'}, {'character': 'Marcel Goldberg', 'name': 'Mark Ivanir'}, {'character': 'Ingrid', 'name': 'Béatrice Macola'}, {'character': 'Julian Scherner', 'name': 'Andrzej Seweryn'}, {'character': 'Rolf Czurda', 'name': 'Friedrich von Thun'}, {'character': 'Herman Toffel', 'name': 'Krzysztof Luft'}, {'character': 'Leo John', 'name': 'Harry Nehring'}, {'character': 'Albert Hujar', 'name': 'Norbert Weisser'}]",Steven Spielberg,Biography,6.,3h 15min,"In German-occupied Poland during World War II, industrialist",Schindler's List,Thomas Keneally
"[{'character': 'Voice of the Ring', 'name': 'Alan Howard'}, {'character': 'Everard Proudfoot', 'name': 'Noel Appleby'}, {'character': 'Sam', 'name': 'Sean Astin'}, {'character': 'Sauron', 'name': 'Sala Baker'}, {'character': 'Boromir', 'name': 'Sean Bean'}, {'character': 'Galadriel', 'name': 'Cate Blanchett'}, {'character': 'Legolas', 'name': 'Orlando Bloom'}, {'character': 'Pippin', 'name': 'Billy Boyd'}, {'character': 'Celeborn', 'name': 'Marton Csokas'}, {'character': 'Mrs. Proudfoot', 'name': 'Megan Edwards'}, {'character': 'Gondorian Archivist', 'name': 'Michael Elsworth'}, {'character': 'Gil-galad', 'name': 'Mark Ferguson'}, {'character': 'Bilbo', 'name': 'Ian Holm'}, {'character': 'Saruman', 'name': 'Christopher Lee'}, {'character': 'Lurtz', 'name': 'Lawrence Makoare'}]",Peter Jackson,Action,10.,2h 58min,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien
"[{'character': 'Everard Proudfoot', 'name': 'Noel Appleby'}, {'character': 'Elanor Gamgee', 'name': 'Ali Astin'}, {'character': 'Sam', 'name': 'Sean Astin'}, {'character': 'Gondorian Soldier 3', 'name': 'David Aston'}, {'character': 'Madril', 'name': 'John Bach'}, {'character': 'Boromir', 'name': 'Sean Bean'}, {'character': 'Galadriel', 'name': 'Cate Blanchett'}, {'character': 'Legolas', 'name': 'Orlando Bloom'}, {'character': 'Pippin', 'name': 'Billy Boyd'}, {'character': 'Eldarion', 'name': 'Sadwyn Brophy'}, {'character': 'Damrod', 'name': 'Alistair Browning'}, {'character': 'Celeborn', 'name': 'Marton Csokas'}, {'character': 'Gondorian Soldier 1', 'name': 'Richard Edge'}, {'character': 'Uruk 2', 'name': 'Jason Fitch'}, {'character': 'Theoden', 'name': 'Bernard Hill'}]",Peter Jackson,Action,7.,3h 21min,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,The Lord of the Rings: The Return of the King,J.R.R. Tolkien
"[{'character': 'Don Vito Corleone', 'name': 'Marlon Brando'}, {'character': 'Michael Corleone', 'name': 'Al Pacino'}, {'character': 'Sonny Corleone', 'name': 'James Caan'}, {'character': 'Clemenza', 'name': 'Richard S. Castellano'}, {'character': 'Tom Hagen', 'name': 'Robert Duvall'}, {'character': 'Capt. McCluskey', 'name': 'Sterling Hayden'}, {'character': 'Jack Woltz', 'name': 'John Marley'}, {'character': 'Barzini', 'name': 'Richard Conte'}, {'character': 'Sollozzo', 'name': 'Al Lettieri'}, {'character': 'Kay Adams', 'name': 'Diane Keaton'}, {'character': 'Tessio', 'name': 'Abe Vigoda'}, {'character': 'Connie', 'name': 'Talia Shire'}, {'character': 'Carlo', 'name': 'Gianni Russo'}, {'character': 'Fredo', 'name': 'John Cazale'}, {'character': 'Cuneo', 'name': 'Rudy Bond'}]",Francis Ford Coppola,Crime,2.,2h 55min,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,The Godfather,Mario Puzo
"[{'character': 'Michael', 'name': 'Al Pacino'}, {'character': 'Tom Hagen', 'name': 'Robert Duvall'}, {'character': 'Kay', 'name': 'Diane Keaton'}, {'character': 'Vito Corleone', 'name': 'Robert De Niro'}, {'character': 'Fredo Corleone', 'name': 'John Cazale'}, {'character': 'Connie Corleone', 'name': 'Talia Shire'}, {'character': 'Hyman Roth', 'name': 'Lee Strasberg'}, {'character': 'Frankie Pentangeli', 'name': 'Michael V. Gazzo'}, {'character': 'Sen. Pat Geary', 'name': 'G.D. Spradlin'}, {'character': 'Al Neri', 'name': 'Richard Bright'}, {'character': 'Fanucci', 'name': 'Gastone Moschin'}, {'character': 'Rocco Lampone', 'name': 'Tom Rosqui'}, {'character': 'Young Clemenza', 'name': 'Bruno Kirby'}, {'character': 'Genco', 'name': 'Frank Sivero'}, {'character': 'Young Mama Corleone', 'name': 'Francesca De Sapio'}]",Francis Ford Coppola,Crime,3.,3h 22min,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",The Godfather: Part II,Francis Ford Coppola
"[{'character': 'Christa-Maria Sieland', 'name': 'Martina Gedeck'}, {'character': 'Hauptmann Gerd Wiesler', 'name': 'Ulrich Mühe'}, {'character': 'Georg Dreyman', 'name': 'Sebastian Koch'}, {'character': 'Oberstleutnant Anton Grubitz', 'name': 'Ulrich Tukur'}, {'character': 'Minister Bruno Hempf', 'name': 'Thomas Thieme'}, {'character': 'Paul Hauser', 'name': 'Hans-Uwe Bauer'}, {'character': 'Albert Jerska', 'name': 'Volkmar Kleinert'}, {'character': 'Karl Wallner', 'name': 'Matthias Brenner'}, {'character': 'Udo', 'name': 'Charly Hübner'}, {'character': 'Gregor Hessenstein', 'name': 'Herbert Knaup'}, {'character': 'Häftling 227', 'name': 'Bastian Trost'}, {'character': 'Frau Meineke', 'name': 'Marie Gruber'}, {'character': 'Schriftexperte', 'name': 'Volker Michalowski'}, {'character': 'Einsatzleiter in Uniform', 'name': 'Werner Daehn'}, {'character': 'Einsatzleiter Meyer', 'name': 'Martin Brambach'}]",Florian Henckel von Donnersmarck,Drama,57.,2h 17min,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",The Lives of Others,Florian Henckel von Donnersmarck
"[{'character': 'The Narrator', 'name': 'Edward Norton'}, {'character': 'Tyler Durden', 'name': 'Brad Pitt'}, {'character': ""Robert 'Bob' Paulsen"", 'name': 'Meat Loaf'}, {'character': 'Richard Chesler', 'name': 'Zach Grenier'}, {'character': 'Intern', 'name': 'Richmond Arquette'}, {'character': 'Thomas', 'name': 'David Andrews'}, {'character': 'Group Leader', 'name': 'George Maguire'}, {'character': 'Weeping Woman', 'name': 'Eugenie Bondurant'}, {'character': 'Marla Singer', 'name': 'Helena Bonham Carter'}, {'character': 'Group Leader', 'name': 'Christina Cabot'}, {'character': 'Speaker', 'name': ""Sydney 'Big Dawg' Colston""}, {'character': 'Chloe', 'name': 'Rachel Singer'}, {'character': 'Airline Attendant', 'name': 'Christie Cronenweth'}, {'character': 'Inspector Bird', 'name': 'Tim DeZarn'}, {'character': 'Inspector Dent', 'name': 'Ezra Buzzington'}]",David Fincher,Drama,11.,2h 19min,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Fight Club,Chuck Palahniuk
"[{'character': 'Pumpkin', 'name': 'Tim Roth'}, {'character': 'Honey Bunny', 'name': 'Amanda Plummer'}, {'character': 'Waitress', 'name': 'Laura Lovelace'}, {'character': 'Vincent Vega', 'name': 'John Travolta'}, {'character': 'Jules Winnfield', 'name': 'Samuel L. Jackson'}, {'character': 'Marvin', 'name': 'Phil LaMarr'}, {'character': 'Brett', 'name': 'Frank Whaley'}, {'character': 'Roger', 'name': 'Burr Steers'}, {'character': 'Butch Coolidge', 'name': 'Bruce Willis'}, {'character': 'Marsellus Wallace', 'name': 'Ving Rhames'}, {'character': 'Paul', 'name': 'Paul Calderon'}, {'character': 'Trudi', 'name': 'Bronagh Gallagher'}, {'character': 'Jody', 'name': 'Rosanna Arquette'}, {'character': 'Lance', 'name': 'Eric Stoltz'}, {'character': 'Mia Wallace', 'name': 'Uma Thurman'}]",Quentin Tarantino,Crime,8.,2h 34min,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Pulp Fiction,Quentin Tarantino
"[{'character': 'Forrest Gump', 'name': 'Tom Hanks'}, {'character': 'Nurse at Park Bench', 'name': 'Rebecca Williams'}, {'character': 'Mrs. Gump', 'name': 'Sally Field'}, {'character': 'Young Forrest', 'name': 'Michael Conner Humphreys'}, {'character': 'Doctor', 'name': 'Harold G. Herthum'}, {'character': 'Barber', 'name': 'George Kelly'}, {'character': 'Crony', 'name': 'Bob Penny'}, {'character': 'Crony', 'name': 'John Randall'}, {'character': 'Principal', 'name': 'Sam Anderson'}, {'character': 'Louise', 'name': 'Margo Moorer'}, {'character': 'Elderly Woman', 'name': 'Ione M. Telech'}, {'character': ""Elderly Woman's Daughter"", 'name': 'Christine Seabrook'}, {'character': 'Southern Gentleman', 'name': 'John Worsham'}, {'character': 'Young Elvis Presley', 'name': 'Peter Dobson'}, {'character': 'School Bus Driver', 'name': 'Siobhan Fallon Hogan'}]",Robert Zemeckis,Drama,12.,2h 22min,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Forrest Gump,Winston Groom
"[{'character': 'Memo', 'name': 'Aras Bulut Iynemli'}, {'character': 'Ova (Child)', 'name': 'Nisa Sofiya Aksongur'}, {'character': 'Teacher Mine', 'name': 'Deniz Baysal'}, {'character': 'Fatma', 'name': 'Celile Toyon Uysal'}, {'character': 'Askorozlu', 'name': 'Ilker Aksum'}, {'character': 'Yusuf', 'name': 'Mesut Akusta'}, {'character': 'Yarbay Aydin', 'name': 'Yurdaer Okur'}, {'character': 'Müdür Nail', 'name': 'Sarp Akkaya'}, {'character': 'Hafiz', 'name': 'Yildiray Sahinler'}, {'character': 'Yüzbasi Faruk', 'name': 'Deniz Celiloglu'}, {'character': 'Hatice', 'name': 'Gulcin Kultur Sahin'}, {'character': 'Ali', 'name': 'Ferit Kaya'}, {'character': 'Kaçak Asker (Fugitive Soldier)', 'name': 'Cankat Aydos'}, {'character': 'Ova (Young)', 'name': 'Hayal Köseoglu'}, {'character': 'Tevfik', 'name': 'Dogukan Polat'}]",Mehmet Ada Öztekin,Drama,250.,2h 12min,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie,Miracle in Cell No. 7,Özge Efendioglu
"[{'character': 'Indy', 'name': 'Harrison Ford'}, {'character': 'Marion', 'name': 'Karen Allen'}, {'character': 'Belloq', 'name': 'Paul Freeman'}, {'character': 'Toht', 'name': 'Ronald Lacey'}, {'character': 'Sallah', 'name': 'John Rhys-Davies'}, {'character': 'Brody', 'name': 'Denholm Elliott'}, {'character': 'Satipo', 'name': 'Alfred Molina'}, {'character': 'Dietrich', 'name': 'Wolf Kahler'}, {'character': 'Gobler', 'name': 'Anthony Higgins'}, {'character': 'Barranca', 'name': 'Vic Tablian'}, {'character': 'Col. Musgrove', 'name': 'Don Fellows'}, {'character': 'Major Eaton', 'name': 'William Hootkins'}, {'character': 'Bureaucrat', 'name': 'Bill Reimbold'}, {'character': 'Jock', 'name': 'Fred Sorenson'}, {'character': 'Australian Climber', 'name': 'Patrick Durkin'}]",Steven Spielberg,Action,55.,1h 55min,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before",Indiana Jones and the Raiders of the Lost Ark,Lawrence Kasdan
"[{'character': 'Shinji Ikari', 'name': 'Megumi Ogata'}, {'character': 'Rei Ayanami', 'name': 'Megumi Hayashibara'}, {'character': 'Asuka Langley Sôryû', 'name': 'Yûko Miyamura'}, {'character': 'Misato Katsuragi', 'name': 'Kotono Mitsuishi'}, {'character': 'Ritsuko Akagi', 'name': 'Yuriko Yamaguchi'}, {'character': 'Gendô Ikari', 'name': 'Fumihiko Tachiki'}, {'character': 'Kaworu Nagisa', 'name': 'Akira Ishida'}, {'character': 'Kôzô Fuyutsuki', 'name': 'Motomu Kiyokawa'}, {'character': 'Keel Lorentz', 'name': 'Mugihito'}, {'character': 'Shigeru Aoba', 'name': 'Takehito Koyasu'}, {'character': 'Makoto Hyûga', 'name': 'Hiro Yûki'}, {'character': 'Maya Ibuki', 'name': 'Miki Nagasawa'}, {'character': 'Shinji Ikari', 'name': 'Spike Spencer'}, {'character': 'Rei Ayanami', 'name': 'Amanda Winn Lee'}, {'character': 'Asuka Langley Sohryuu', 'name': 'Tiffany Grant'}]",Hideaki Anno,Animation,248.,1h 27min,Concurrent theatrical ending of the TV series,Neon Genesis Evangelion: The End of Evangelion,Kazuya Tsurumaki
"[{'character': 'The Man', 'name': ""George O'Brien""}, {'character': 'The Wife', 'name': 'Janet Gaynor'}, {'character': 'The Woman From the City', 'name': 'Margaret Livingston'}, {'character': 'The Maid', 'name': 'Bodil Rosing'}, {'character': 'The Photographer', 'name': 'J. Farrell MacDonald'}, {'character': 'The Barber', 'name': 'Ralph Sipperly'}, {'character': 'The Manicure Girl', 'name': 'Jane Winton'}, {'character': 'The Obtrusive Gentleman', 'name': 'Arthur Housman'}, {'character': 'The Obliging Gentleman', 'name': 'Eddie Boland'}]",F.W. Murnau,Drama,249.,1h 34min,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme.",Sunrise,Carl Mayer
"[{'character': 'Hynkel - Dictator of Tomania', 'name': 'Charles Chaplin'}, {'character': 'Napaloni - Dictator of Bacteria', 'name': 'Jack Oakie'}, {'character': 'Schultz', 'name': 'Reginald Gardiner'}, {'character': 'Garbitsch', 'name': 'Henry Daniell'}, {'character': 'Herring', 'name': 'Billy Gilbert'}, {'character': 'Madame Napaloni', 'name': 'Grace Hayle'}, {'character': 'Bacterian Ambassador', 'name': 'Carter DeHaven'}, {'character': 'Hannah', 'name': 'Paulette Goddard'}, {'character': 'Mr. Jaeckel', 'name': 'Maurice Moscovitch'}, {'character': 'Mrs. Jaeckel', 'name': 'Emma Dunn'}, {'character': 'Mr. Mann', 'name': 'Bernard Gorcey'}, {'character': 'Mr. Agar', 'name': 'Paul Weigel'}, {'character': ""Barber's Customer"", 'name': 'Chester Conklin'}, {'character': 'Jewish Woman', 'name': 'Esther Michelson'}, {'character': 'Storm Trooper Stealing Fruit', 'name': 'Hank Mann'}]",Charles Chaplin,Comedy,56.,2h 5min,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,The Great Dictator,Charles Chaplin
"[{'character': 'George Kutty', 'name': 'Mohanlal'}, {'character': 'Rani George', 'name': 'Meena'}, {'character': 'IG Geetha Prabhakar', 'name': 'Asha Sharath'}, {'character': 'Anju George', 'name': 'Ansiba'}, {'character': 'Anumol George (Anu)', 'name': 'Esther Anil'}, {'character': 'Soman', 'name': 'Baiju V.K.'}, {'character': 'Constable Sahadevan', 'name': 'Kalabhavan Shajohn'}, {'character': 'Prabhakar', 'name': 'Siddique'}, {'character': 'Varun Prabhakar', 'name': 'Roshan Basheer'}, {'character': 'Monichan', 'name': 'Neeraj Madhav'}, {'character': 'New Sub Inspector', 'name': 'Pradeep Chandran'}, {'character': 'Cinema Projector Operator', 'name': 'Kalabhavan Haneef'}, {'character': 'SI Suresh Babu', 'name': 'Irshad'}, {'character': 'Murali', 'name': 'Koottickal Jayachandran'}, {'character': 'Head Constable Madhavan', 'name': 'Kunchan'}]",Jeethu Joseph,Crime,247.,2h 40min,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Drishyam,Jeethu Joseph
"[{'character': 'Westley', 'name': 'Cary Elwes'}, {'character': 'Iñigo Montoya', 'name': 'Mandy Patinkin'}, {'character': 'Prince Humperdinck', 'name': 'Chris Sarandon'}, {'character': 'Count Rugen', 'name': 'Christopher Guest'}, {'character': 'Vizzini', 'name': 'Wallace Shawn'}, {'character': 'Fezzik', 'name': 'André the Giant'}, {'character': 'The Grandson', 'name': 'Fred Savage'}, {'character': 'The Princess Bride', 'name': 'Robin Wright'}, {'character': 'The Grandfather', 'name': 'Peter Falk'}, {'character': 'The Impressive Clergyman', 'name': 'Peter Cook'}, {'character': 'The Albino', 'name': 'Mel Smith'}, {'character': 'Valerie', 'name': 'Carol Kane'}, {'character': 'Miracle Max', 'name': 'Billy Crystal'}, {'character': 'The Queen', 'name': 'Anne Dyson'}, {'character': 'The Ancient Booer', 'name': 'Margery Mason'}]",Rob Reiner,Adventure,245.,1h 38min,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",The Princess Bride,William Goldman
"[{'character': 'Valentine', 'name': 'Irène Jacob'}, {'character': 'Le juge', 'name': 'Jean-Louis Trintignant'}, {'character': 'Karin', 'name': 'Frédérique Feder'}, {'character': 'Auguste', 'name': 'Jean-Pierre Lorit'}, {'character': 'Le photographe (Photographer)', 'name': 'Samuel Le Bihan'}, {'character': 'Le vétérinaire', 'name': 'Marion Stalens'}, {'character': 'Le barman', 'name': 'Teco Celio'}, {'character': 'Le disquaire', 'name': 'Bernard Escalon'}, {'character': 'Le voisin', 'name': 'Jean Schlegel'}, {'character': 'La femme', 'name': 'Elzbieta Jasinska'}, {'character': ""L'ami de Karin"", 'name': 'Paul Vermeulen'}, {'character': 'Le gardien du théâtre', 'name': 'Jean-Marie Daunas'}, {'character': 'Le trafiquant', 'name': 'Roland Carey'}, {'character': None, 'name': 'Brigitte Raul'}, {'character': None, 'name': 'Leo Ramseyer'}]",Krzysztof Kieslowski,Drama,246.,1h 39min,A model discovers a retired judge is keen on invading people's privacy.,Three Colors: Red,Krzysztof Kieslowski
"[{'character': 'Joe', 'name': 'Jamie Foxx'}, {'character': '22', 'name': 'Tina Fey'}, {'character': 'Moonwind', 'name': 'Graham Norton'}, {'character': 'Terry', 'name': 'Rachel House'}, {'character': 'Counselor Jerry', 'name': 'Alice Braga'}, {'character': 'Counselor Jerry', 'name': 'Richard Ayoade'}, {'character': 'Libba', 'name': 'Phylicia Rashad'}, {'character': 'Dez', 'name': 'Donnell Rawlings'}, {'character': 'Curley', 'name': 'Questlove'}, {'character': 'Dorothea', 'name': 'Angela Bassett'}, {'character': 'Connie', 'name': 'Cora Champommier'}, {'character': 'Melba', 'name': 'Margo Hall'}, {'character': 'Paul', 'name': 'Daveed Diggs'}, {'character': 'Lulu', 'name': 'Rhodessa Jones'}, {'character': 'Counselor Jerry', 'name': 'Wes Studi'}]",Pete Docter,Animation,243.,1h 40min,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",Soul,Kemp Powers
"[{'character': 'Tony le Stéphanois', 'name': 'Jean Servais'}, {'character': 'Jo le Suedois', 'name': 'Carl Möhner'}, {'character': 'Mario Ferrati', 'name': 'Robert Manuel'}, {'character': 'Louise', 'name': 'Janine Darcey'}, {'character': 'Louis Grutter aka Louis le Tatoué', 'name': 'Pierre Grasset'}, {'character': 'Remi Grutter', 'name': 'Robert Hossein'}, {'character': 'Pierre Grutter', 'name': 'Marcel Lupovici'}, {'character': 'Tonio', 'name': 'Dominique Maurin'}, {'character': 'Viviane', 'name': 'Magali Noël'}, {'character': 'Mado les Grands Bras', 'name': 'Marie Sabouret'}, {'character': 'Ida Ferrati', 'name': 'Claude Sylvain'}, {'character': 'Cesar le Milanais', 'name': 'Jules Dassin'}, {'character': 'Second Gambler', 'name': 'Armandel'}, {'character': ""Footman, 'L'Age D'Or'"", 'name': 'Alain Bouvette'}, {'character': None, 'name': 'Alice Garan'}]",Jules Dassin,Crime,242.,1h 58min,"Four men plan a technically perfect crime, but the human element intervenes...",Rififi,Auguste Le Breton
"[{'character': 'Jesse', 'name': 'Ethan Hawke'}, {'character': 'Celine', 'name': 'Julie Delpy'}, {'character': 'Bookstore Manager', 'name': 'Vernon Dobtcheff'}, {'character': 'Journalist #1', 'name': 'Louise Lemoine Torrès'}, {'character': 'Journalist #2', 'name': 'Rodolphe Pauly'}, {'character': 'Waitress', 'name': 'Mariane Plasteig'}, {'character': 'Philippe', 'name': 'Diabolo'}, {'character': 'Boat Attendant', 'name': 'Denis Evrard'}, {'character': 'Man at Grill', 'name': 'Albert Delpy'}, {'character': 'Woman in Courtyard', 'name': 'Marie Pillet'}]",Richard Linklater,Drama,241.,1h 20min,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Before Sunset,Richard Linklater
"[{'character': 'Nausicaä', 'name': 'Sumi Shimamoto'}, {'character': 'Jihl', 'name': 'Mahito Tsujimura'}, {'character': 'Oh-Baba', 'name': 'Hisako Kyôda'}, {'character': 'Yupa', 'name': 'Gorô Naya'}, {'character': 'Mito', 'name': 'Ichirô Nagai'}, {'character': 'Goru', 'name': 'Kôhei Miyauchi'}, {'character': 'Gikkuri', 'name': 'Jôji Yanami'}, {'character': 'Niga', 'name': 'Minoru Yada'}, {'character': 'Teto', 'name': 'Rihoko Yoshida'}, {'character': 'Girl A', 'name': 'Masako Sugaya'}, {'character': 'Girl B', 'name': 'Takako Sasuga'}, {'character': 'Boy A', 'name': 'Chika Sakamoto'}, {'character': 'Boy B', 'name': 'Tarako'}, {'character': 'Asbel', 'name': 'Yôji Matsuda'}, {'character': 'Rastel', 'name': 'Mîna Tominaga'}]",Hayao Miyazaki,Animation,238.,1h 57min,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Nausicaä of the Valley of the Wind,Hayao Miyazaki
"[{'character': 'Ali La Pointe', 'name': 'Brahim Hadjadj'}, {'character': 'Col. Mathieu', 'name': 'Jean Martin'}, {'character': 'Djafar', 'name': 'Yacef Saadi'}, {'character': 'Fathia', 'name': 'Samia Kerbash'}, {'character': 'Captain', 'name': 'Ugo Paletti'}, {'character': 'Halima', 'name': 'Fusia El Kader'}, {'character': 'Petit Omar', 'name': 'Mohamed Ben Kassen'}]",Gillo Pontecorvo,Drama,240.,2h 1min,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",The Battle of Algiers,Franco Solinas
