cast,directors,genre,rating,runtime,summary,title,writers
"[{'character': 'Charlotte Andergast', 'name': 'Ingrid Bergman'}, {'character': 'Eva', 'name': 'Liv Ullmann'}, {'character': 'Helena', 'name': 'Lena Nyman'}, {'character': 'Viktor', 'name': 'Halvar Björk'}, {'character': ""Charlotte's private secretary"", 'name': 'Marianne Aminoff'}, {'character': 'Uncle Otto', 'name': 'Arne Bang-Hansen'}, {'character': 'Paul', 'name': 'Gunnar Björnstrand'}, {'character': 'Josef', 'name': 'Erland Josephson'}, {'character': 'Leonardo', 'name': 'Georg Løkkeberg'}, {'character': 'Piano instructor', 'name': 'Mimi Pollak'}, {'character': 'Eva as a child', 'name': 'Linn Ullmann'}]",Ingmar Bergman,Drama,214.,1h 39min,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",Autumn Sonata,Ingmar Bergman
"[{'character': 'Luke', 'name': 'Paul Newman'}, {'character': 'Dragline', 'name': 'George Kennedy'}, {'character': 'Society Red', 'name': 'J.D. Cannon'}, {'character': 'Koko', 'name': 'Lou Antonio'}, {'character': 'Loudmouth Steve', 'name': 'Robert Drivas'}, {'character': 'Captain', 'name': 'Strother Martin'}, {'character': 'Arletta', 'name': 'Jo Van Fleet'}, {'character': 'Carr', 'name': 'Clifton James'}, {'character': 'Boss Godfrey', 'name': 'Morgan Woodward'}, {'character': 'Boss Paul', 'name': 'Luke Askew'}, {'character': 'Rabbitt', 'name': 'Marc Cavell'}, {'character': 'Blind Dick', 'name': 'Richard Davalos'}, {'character': 'Boss Shorty', 'name': 'Robert Donner'}, {'character': 'Tattoo', 'name': 'Warren Finnerty'}, {'character': 'Babalugats', 'name': 'Dennis Hopper'}]",Stuart Rosenberg,Crime,215.,2h 7min,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Cool Hand Luke,Donn Pearce
"[{'character': 'Lord Voldemort', 'name': 'Ralph Fiennes'}, {'character': 'Professor Albus Dumbledore', 'name': 'Michael Gambon'}, {'character': 'Professor Severus Snape', 'name': 'Alan Rickman'}, {'character': 'Harry Potter', 'name': 'Daniel Radcliffe'}, {'character': 'Ron Weasley', 'name': 'Rupert Grint'}, {'character': 'Hermione Granger', 'name': 'Emma Watson'}, {'character': 'Luna Lovegood', 'name': 'Evanna Lynch'}, {'character': 'Bill Weasley', 'name': 'Domhnall Gleeson'}, {'character': 'Fleur Delacour', 'name': 'Clémence Poésy'}, {'character': 'Griphook', 'name': 'Warwick Davis'}, {'character': 'Ollivander', 'name': 'John Hurt'}, {'character': 'Bellatrix Lestrange', 'name': 'Helena Bonham Carter'}, {'character': 'Death Eater', 'name': 'Graham Duff'}, {'character': ""Gringotts' Guard"", 'name': 'Anthony Allgood'}, {'character': ""Aged Gringotts' Goblin"", 'name': 'Rusty Goffe'}]",David Yates,Adventure,213.,2h 10min,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",Harry Potter and the Deathly Hallows: Part 2,Steve Kloves
"[{'character': 'Gordie Lachance', 'name': 'Wil Wheaton'}, {'character': 'Chris Chambers', 'name': 'River Phoenix'}, {'character': 'Teddy Duchamp', 'name': 'Corey Feldman'}, {'character': 'Vern Tessio', 'name': ""Jerry O'Connell""}, {'character': 'Ace Merrill', 'name': 'Kiefer Sutherland'}, {'character': 'Billy Tessio', 'name': 'Casey Siemaszko'}, {'character': 'Charlie Hogan', 'name': 'Gary Riley'}, {'character': 'Eyeball Chambers', 'name': 'Bradley Gregg'}, {'character': 'Vince Desjardins', 'name': 'Jason Oliver Lipsett'}, {'character': 'Mr. Lachance', 'name': 'Marshall Bell'}, {'character': 'Mrs. Lachance', 'name': 'Frances Lee McCain'}, {'character': 'Mr. Quidacioluo', 'name': 'Bruce Kirby'}, {'character': 'Milo Pressman', 'name': 'William Bronder'}, {'character': 'Mayor Grundy', 'name': 'Scott Beach'}, {'character': 'The Writer', 'name': 'Richard Dreyfuss'}]",Rob Reiner,Adventure,212.,1h 29min,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Stand by Me,Stephen King
"[{'character': 'Antoine Doinel', 'name': 'Jean-Pierre Léaud'}, {'character': ""Gilberte Doinel - la mère d'Antoine"", 'name': 'Claire Maurier'}, {'character': 'Julien Doinel', 'name': 'Albert Rémy'}, {'character': ""'Petite Feuille', the French teacher"", 'name': 'Guy Decomble'}, {'character': 'Mr. Bigey', 'name': 'Georges Flamant'}, {'character': 'René', 'name': 'Patrick Auffay'}, {'character': 'Betrand Mauricet', 'name': 'Daniel Couturier'}, {'character': 'Un enfant', 'name': 'François Nocher'}, {'character': 'Un enfant', 'name': 'Richard Kanayan'}, {'character': 'Un enfant', 'name': 'Renaud Fontanarosa'}, {'character': 'Un enfant', 'name': 'Michel Girard'}, {'character': 'Un enfant', 'name': 'Serge Moati'}, {'character': 'Un enfant', 'name': 'Bernard Abbou'}, {'character': 'Un enfant', 'name': 'Jean-François Bergouignan'}, {'character': 'Un enfant', 'name': 'Michel Lesignor'}]",François Truffaut,Crime,216.,1h 39min,"A young boy, left without attention, delves into a life of petty crime.",The 400 Blows,François Truffaut
"[{'character': 'Frankie Dunn', 'name': 'Clint Eastwood'}, {'character': 'Maggie Fitzgerald', 'name': 'Hilary Swank'}, {'character': 'Eddie Scrap-Iron Dupris', 'name': 'Morgan Freeman'}, {'character': 'Danger Barch', 'name': 'Jay Baruchel'}, {'character': 'Big Willie Little', 'name': 'Mike Colter'}, {'character': ""Billie 'The Blue Bear'"", 'name': 'Lucia Rijker'}, {'character': 'Father Horvak', 'name': ""Brían F. O'Byrne""}, {'character': 'Shawrelle Berry', 'name': 'Anthony Mackie'}, {'character': 'Earline Fitzgerald', 'name': 'Margo Martindale'}, {'character': 'Mardell Fitzgerald', 'name': 'Riki Lindhome'}, {'character': 'Omar', 'name': 'Michael Peña'}, {'character': ""Billie's Manager"", 'name': 'Benito Martinez'}, {'character': 'Mickey Mack', 'name': 'Bruce MacVittie'}, {'character': 'Counterman at Diner', 'name': 'David Powledge'}, {'character': 'Cut Man', 'name': ""Joe D'Angerio""}]",Clint Eastwood,Drama,209.,2h 12min,A determined woman works with a hardened boxing trainer to become a professional.,Million Dollar Baby,Paul Haggis
"[{'character': 'Diana Christensen', 'name': 'Faye Dunaway'}, {'character': 'Max Schumacher', 'name': 'William Holden'}, {'character': 'Howard Beale', 'name': 'Peter Finch'}, {'character': 'Frank Hackett', 'name': 'Robert Duvall'}, {'character': 'Nelson Chaney', 'name': 'Wesley Addy'}, {'character': 'Arthur Jensen', 'name': 'Ned Beatty'}, {'character': 'Great Ahmed Kahn', 'name': 'Arthur Burghardt'}, {'character': 'TV Director', 'name': 'Bill Burrows'}, {'character': 'George Bosch', 'name': 'John Carpenter'}, {'character': 'Harry Hunter', 'name': 'Jordan Charney'}, {'character': 'Mary Ann Gifford', 'name': 'Kathy Cronkite'}, {'character': 'Joe Donnelly', 'name': 'Ed Crowley'}, {'character': 'Walter C. Amundsen', 'name': 'Jerome Dempsey'}, {'character': 'Barbara Schlesinger', 'name': 'Conchata Ferrell'}, {'character': 'Milton K. Steinman', 'name': 'Gene Gross'}]",Sidney Lumet,Drama,211.,2h 1min,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Network,Paddy Chayefsky
"[{'character': 'John Keating', 'name': 'Robin Williams'}, {'character': 'Neil Perry', 'name': 'Robert Sean Leonard'}, {'character': 'Todd Anderson', 'name': 'Ethan Hawke'}, {'character': 'Knox Overstreet', 'name': 'Josh Charles'}, {'character': 'Charlie Dalton', 'name': 'Gale Hansen'}, {'character': 'Richard Cameron', 'name': 'Dylan Kussman'}, {'character': 'Steven Meeks', 'name': 'Allelon Ruggiero'}, {'character': 'Gerard Pitts', 'name': 'James Waterston'}, {'character': 'Mr. Nolan', 'name': 'Norman Lloyd'}, {'character': 'Mr. Perry', 'name': 'Kurtwood Smith'}, {'character': 'Mrs. Perry', 'name': 'Carla Belver'}, {'character': 'McAllister', 'name': 'Leon Pownall'}, {'character': 'Dr. Hager', 'name': 'George Martin'}, {'character': 'Chemistry Teacher', 'name': 'Joe Aufiery'}, {'character': 'Hopkins', 'name': 'Matt Carey'}]",Peter Weir,Comedy,210.,2h 8min,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Dead Poets Society,Tom Schulman
"[{'character': 'Max Rockatansky', 'name': 'Tom Hardy'}, {'character': 'Imperator Furiosa', 'name': 'Charlize Theron'}, {'character': 'Nux', 'name': 'Nicholas Hoult'}, {'character': 'Immortan Joe', 'name': 'Hugh Keays-Byrne'}, {'character': 'Slit', 'name': 'Josh Helman'}, {'character': 'Rictus Erectus', 'name': 'Nathan Jones'}, {'character': 'Toast the Knowing', 'name': 'Zoë Kravitz'}, {'character': 'The Splendid Angharad', 'name': 'Rosie Huntington-Whiteley'}, {'character': 'Capable', 'name': 'Riley Keough'}, {'character': 'The Dag', 'name': 'Abbey Lee'}, {'character': 'Cheedo the Fragile', 'name': 'Courtney Eaton'}, {'character': 'The People Eater', 'name': 'John Howard'}, {'character': 'The Bullet Farmer', 'name': 'Richard Carter'}, {'character': 'The Doof Warrior', 'name': 'Iota'}, {'character': 'The Organic Mechanic', 'name': 'Angus Sampson'}]",George Miller,Action,206.,2h,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",Mad Max: Fury Road,George Miller
"[{'character': 'Mario Livi', 'name': 'Yves Montand'}, {'character': 'M. Jo', 'name': 'Charles Vanel'}, {'character': 'Luigi', 'name': 'Folco Lulli'}, {'character': 'Bimba', 'name': 'Peter van Eyck'}, {'character': 'Linda', 'name': 'Véra Clouzot'}, {'character': ""Bill O'Brien"", 'name': 'William Tubbs'}, {'character': 'Pepito Hernandez', 'name': 'Darío Moreno'}, {'character': 'Hans Smerloff', 'name': 'Jo Dest'}, {'character': 'Camp Chief', 'name': 'Antonio Centa'}, {'character': 'Bernardo', 'name': 'Luis De Lima'}, {'character': None, 'name': 'Grégoire Gromoff'}, {'character': None, 'name': 'Joseph Palau-Fabre'}, {'character': None, 'name': 'Faustini'}, {'character': None, 'name': 'Seguna'}, {'character': None, 'name': 'Darling Légitimus'}]",Henri-Georges Clouzot,Adventure,207.,2h 11min,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",The Wages of Fear,Georges Arnaud
